ip,city,region,country,loc,timezone,country_name,latitude,longitude,org,hostname,postal,bogon
193.37.153.37,Viseu,Viseu,PT,"40.6610,-7.9097",Europe/Lisbon,Portugal,40.6610,-7.9097,AS41345 Visabeira Digital - Sistemas de Informacao e Multimedia SA,smtpdr.grupovisabeira.pt,3500-001,
193.43.252.252,Mariupol,Donetsk Oblast,UA,"47.0951,37.5413",Europe/Kiev,Ukraine,47.0951,37.5413,,,87500,
193.99.42.56,Dortmund,North Rhine-Westphalia,DE,"51.5149,7.4660",Europe/Berlin,Germany,51.5149,7.4660,AS702 Verizon Business,,44135,
194.118.55.9,Vienna,Vienna,AT,"48.2085,16.3721",Europe/Vienna,Austria,48.2085,16.3721,AS1901 A1 Telekom Austria AG,194-118-55-9.adsl.highway.telekom.at,1010,
194.140.77.33,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,"AS8216 INDRA SISTEMAS, S.A.",,28001,
194.153.113.13,Kassel,Hesse,DE,"51.2988,9.5297",Europe/Berlin,Germany,51.2988,9.5297,,,34123,
194.179.126.131,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,,28001,
194.179.126.144,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,,28001,
194.179.126.154,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,,28001,
194.179.55.199,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,,28001,
194.179.72.81,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,,28013,
194.179.87.18,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS3352 TELEFONICA DE ESPANA,,28013,
